 &plot nbnd=  12, nks=    61 /
            0.288002 -0.498767  0.000000
  -14.838  -13.810   -7.003   -2.912    1.134    6.860   10.343   10.459   11.611   11.972
   12.682   12.772
            0.273602 -0.473829  0.000000
  -15.066  -13.560   -6.988   -3.008    1.253    6.867    9.634   11.047   11.197   11.979
   12.549   13.503
            0.259202 -0.448891  0.000000
  -15.494  -13.066   -6.944   -3.264    1.578    6.889    8.904   10.358   11.256   12.022
   13.256   14.297
            0.244802 -0.423952  0.000000
  -15.950  -12.500   -6.871   -3.623    2.050    6.924    8.211    9.691   10.576   12.852
   13.814   14.865
            0.230402 -0.399014  0.000000
  -16.399  -11.900   -6.769   -4.034    2.618    6.966    7.562    9.054    9.930   13.671
   13.797   15.183
            0.216001 -0.374076  0.000000
  -16.829  -11.277   -6.640   -4.465    3.246    6.869    7.101    8.451    9.321   13.417
   14.421   15.524
            0.201601 -0.349137  0.000000
  -17.237  -10.638   -6.484   -4.897    3.910    6.330    7.133    7.885    8.752   12.973
   14.906   15.086
            0.187201 -0.324199  0.000000
  -17.621   -9.986   -6.303   -5.317    4.594    5.792    7.206    7.358    8.226   12.526
   14.475   15.282
            0.172801 -0.299260  0.000000
  -17.978   -9.326   -6.099   -5.718    5.281    5.291    6.875    7.269    7.760   12.095
   14.009   14.552
            0.158401 -0.274322  0.000000
  -18.310   -8.663   -6.096   -5.874    4.828    5.916    6.483    7.157    7.513   11.688
   13.576   13.701
            0.144001 -0.249384  0.000000
  -18.613   -8.003   -6.447   -5.632    4.405    5.917    6.751    6.797    7.556   11.309
   12.863   13.177
            0.129601 -0.224445  0.000000
  -18.889   -7.350   -6.769   -5.375    4.022    5.570    6.431    7.388    7.639   10.962
   12.051   12.814
            0.115201 -0.199507  0.000000
  -19.137   -7.060   -6.714   -5.109    3.678    5.239    6.097    7.721    8.019   10.648
   11.277   12.487
            0.100801 -0.174569  0.000000
  -19.356   -7.319   -6.103   -4.840    3.375    4.943    5.801    7.790    8.615   10.368
   10.550   12.198
            0.086401 -0.149630  0.000000
  -19.546   -7.545   -5.527   -4.574    3.113    4.685    5.544    7.839    9.163    9.882
   10.125   11.946
            0.072000 -0.124692  0.000000
  -19.708   -7.737   -5.000   -4.322    2.890    4.465    5.325    7.864    9.285    9.649
    9.921   11.731
            0.057600 -0.099753  0.000000
  -19.840   -7.895   -4.536   -4.092    2.708    4.286    5.147    7.865    8.770    9.742
   10.078   11.554
            0.043200 -0.074815  0.000000
  -19.943   -8.018   -4.152   -3.896    2.567    4.146    5.008    7.846    8.351    9.612
   10.416   11.415
            0.028800 -0.049877  0.000000
  -20.017   -8.106   -3.862   -3.746    2.466    4.046    4.908    7.818    8.041    9.517
   10.667   11.315
            0.014400 -0.024938  0.000000
